PeakPosition,G1_Mean,G1_SEM,G2_Mean,G2_SEM,P_value,FDR
724,9.195994947783978,0.3676890324890186,7.542919277646425,0.7845614435599432,0.1150570081172539,0.1955969137993316
732,9.195994947783978,0.3676890324890186,6.279869773515564,1.0055416400552528,0.0490772803219006,0.1104712200452777
1452,1.799987616949798,0.0948008231930688,1.8835257390950264,0.1289900734097709,0.3961359234350363,0.5050733023796713
1460,1.516871094566386,0.1333895817845434,1.5384309987583216,0.2061845129843027,0.4716213232965749,0.5659455879558899
956,1.342808844840034,0.1011479734661202,1.1801202325446167,0.1874427276691723,0.7161111216150764,0.7770567489865721
1236,0.7123354771165387,0.0765420562764772,1.5173535787968246,0.1346970370021207,2.7281108408489486e-06,0.0002782673057665
1308,1.0081835640395551,0.0680759532983357,0.8037052883924689,0.1475443977738681,0.0950953761142215,0.1672366959250103
652,0.677767719533689,0.1335354923639628,1.2398207877557073,0.2625345136490333,0.0559337133964208,0.1118674267928416
620,0.8873628289625398,0.1551780972463336,0.6121926944664055,0.113765225321047,0.3462904304525995,0.4773192419752047
1316,0.8533698046704082,0.0969850902966083,0.501903182615068,0.1642270745261019,0.0517299697505136,0.1104712200452777
1708,0.3390342657437276,0.0715451100903483,0.573736199396348,0.1236328429651088,0.0430270352844802,0.1020641302096973
1636,0.2179969036927041,0.1142644427379867,0.3340488878618033,0.2118123008088613,0.3275367569765917,0.4609789160343844
540,0.4190725279003909,0.0265414005587943,0.3544472296796779,0.0340728836670818,0.0312407634425665,0.0796639467785446
1700,0.2710270344968802,0.073557417544439,0.5357306612933495,0.1270897815366851,0.0741663208336692,0.1350886558041833
532,0.412394806789594,0.0282577540854017,0.3309004205148933,0.0408505045334701,0.0411419356963466,0.0999161295482703
1532,0.2372701778506841,0.0687126670847546,1.2601749293696416,0.2492093079516258,1.4607483118571686e-05,0.0007449816390471
1372,0.2897693997354847,0.0509571149370354,0.5127951666625832,0.0995142226915576,0.0513133025991708,0.1104712200452777
1580,0.3125911546986518,0.0698300549793966,0.501131759453126,0.1166041410953111,0.2325526537317887,0.3540353832931709
988,0.0565774824713722,0.0513770017853316,0.9359606053685608,0.3011864087055696,0.0026656394998606,0.0151052904992102
1364,0.2133943342365624,0.0518314976205912,0.5313519111586807,0.1022137405853987,0.0092736607411415,0.0295789447235393
1084,0.2647238657345236,0.0740679266148928,0.2274655954419867,0.1151806739754449,0.9776562299691898,0.9921656005178344
