epoch,train_loss,val_loss,val_patient_auc,lr
1,0.7331035733222961,0.627804160118103,0.5833333333333334,0.00999938933078422
2,0.6560580730438232,0.5468074083328247,0.5833333333333334,0.009997557473810372
3,0.5753455758094788,0.5124030709266663,0.6666666666666666,0.009994504881061753
4,0.5391399264335632,0.5158917903900146,0.7083333333333333,0.009990232305719946
5,0.5526566505432129,0.534722089767456,0.6666666666666666,0.009984740801978986
6,0.5735371708869934,0.5524128079414368,0.7083333333333333,0.009978031724785247
7,0.5865176916122437,0.561628520488739,0.7083333333333333,0.009970106729503141
8,0.5981201529502869,0.5608792304992676,0.6666666666666666,0.009960967771506667
9,0.5942248106002808,0.5522798299789429,0.7083333333333333,0.00995061710569696
10,0.5867655277252197,0.5393353700637817,0.75,0.009939057285945933
11,0.5791196823120117,0.5258204936981201,,0.009926291164466132
12,0.5400816202163696,0.5156294703483582,,0.009912321891107011
13,0.5314364433288574,0.5103727579116821,,0.009897152912577742
14,0.5312709808349609,0.5102488994598389,,0.009880787971596802
15,0.530838668346405,0.514020562171936,0.75,0.0098632311059685
16,0.5230500102043152,0.5195177793502808,,0.009844486647586725
17,0.5342838168144226,0.5242648124694824,,0.009824559221366103
18,0.5342081189155579,0.5266086459159851,,0.009803453744100871
19,0.5363287925720215,0.5261579155921936,,0.009781175423251737
20,0.5428235530853271,0.5233267545700073,0.7916666666666666,0.009757729755661014
21,0.530308187007904,0.5192535519599915,,0.009733122526196352
22,0.5307499170303345,0.5151951313018799,,0.00970735980632342
23,0.5316485166549683,0.5119762420654297,,0.009680447952607849
24,0.5275829434394836,0.5100435018539429,,0.009652393605146848
25,0.5190273523330688,0.5093044638633728,0.7916666666666666,0.009623203685930873
26,0.5215148329734802,0.5094536542892456,,0.009592885397135709
27,0.5263653993606567,0.5100487470626831,,0.009561446219345456
28,0.5226565599441528,0.5107253789901733,,0.0095288939097068
29,0.5242142677307129,0.5111977458000183,,0.009495236500015049
30,0.5292795896530151,0.5113311409950256,0.75,0.009460482294732422
31,0.5218397974967957,0.5111607909202576,,0.009424639868939036
32,0.5239678621292114,0.5106819868087769,,0.009387718066217127
33,0.5179188847541809,0.5100698471069336,,0.00934972599646905
34,0.521973192691803,0.5094457268714905,,0.009310673033669524
35,0.5240560173988342,0.5088965892791748,0.75,0.00927056881355276
36,0.5210726261138916,0.5085362195968628,,0.009229423231234978
37,0.5213741064071655,0.5084016919136047,,0.009187246438772941
38,0.5193025469779968,0.5084591507911682,,0.009144048842659083
39,0.5193547606468201,0.5086469054222107,,0.009099841101253869
40,0.5236603021621704,0.5089174509048462,0.75,0.009054634122155993
41,0.5183256268501282,0.5091687440872192,,0.009008439059511103
42,0.5168803334236145,0.5093392729759216,,0.008961267311259671
43,0.5217975974082947,0.5094034075737,,0.008913130516324735
44,0.5203669667243958,0.5093442797660828,,0.008864040551740159
45,0.5174880027770996,0.5091547966003418,0.75,0.008814009529720156
46,0.5172673463821411,0.5088808536529541,,0.008763049794670777
47,0.5182920098304749,0.5085559487342834,,0.00871117392014412
48,0.5224184393882751,0.5082354545593262,,0.008658394705735989
49,0.5186650156974792,0.5079315900802612,,0.008604725173927788
50,0.5162069797515869,0.5076742768287659,0.75,0.008550178566873411
51,0.5198622345924377,0.5074707269668579,,0.008494768343131957
52,0.5175396203994751,0.5073264241218567,,0.00843850817434701
53,0.5111074447631836,0.5072222948074341,,0.008381411941873378
54,0.5157496333122253,0.5071519017219543,,0.008323493733352076
55,0.5171775817871094,0.5071033239364624,0.75,0.008264767839234409
56,0.5177507996559143,0.5070630311965942,,0.008205248749256013
57,0.5182145833969116,0.5070258378982544,,0.00814495114886174
58,0.5209842324256897,0.5069822669029236,,0.008083889915582234
59,0.5179362297058105,0.5069297552108765,,0.008022080115363126
60,0.5202994346618652,0.5068713426589966,0.75,0.007959536998847742
61,0.5186366438865662,0.5068140029907227,,0.007896275997614229
62,0.5175321698188782,0.5067673921585083,,0.007832312720368046
63,0.5173436999320984,0.5067338347434998,,0.00776766294909075
64,0.518034815788269,0.5067155361175537,,0.00770234263514603
65,0.5152627825737,0.5067072510719299,0.75,0.007636367895343944
66,0.5114398002624512,0.5067015886306763,,0.007569755007964335
67,0.5107043981552124,0.5066953897476196,,0.007502520408740415
68,0.5136156678199768,0.5066795349121094,,0.007434680686803487
69,0.5135608911514282,0.5066511631011963,,0.007366252580589836
70,0.5155757665634155,0.506615161895752,0.75,0.007297252973710754
