set,n,roc_auc,accuracy,balanced_accuracy,brier_score,ece,sensitivity,specificity
OOF development,41,0.9411764705882353,0.8536585365853658,0.8235294117647058,0.09947201407029978,0.06225551889367027,1.0,0.6470588235294118
legacy observed holdout,11,0.7499999999999999,0.8181818181818182,0.8035714285714286,0.174911923345426,0.14874860741484436,0.8571428571428571,0.75
