set,n,roc_auc,accuracy,balanced_accuracy,brier_score,ece,sensitivity,specificity
OOF development,41,0.9264705882352942,0.8780487804878049,0.8700980392156863,0.1082178672297464,0.11232935493893288,0.9166666666666666,0.8235294117647058
legacy observed holdout,11,0.7857142857142857,0.8181818181818182,0.8035714285714286,0.17228345738608467,0.17274702264380448,0.8571428571428571,0.75
