set,n,roc_auc,accuracy,balanced_accuracy,brier_score,ece,sensitivity,specificity
OOF development,41,0.9754901960784312,0.926829268292683,0.9375,0.06730832759457012,0.10085923215094711,0.875,1.0
legacy observed holdout,11,0.8214285714285714,0.8181818181818182,0.8035714285714286,0.18432003464056573,0.21801398416806061,0.8571428571428571,0.75
