fold,n_val,raw_auc,mean_best_epoch,member_auc_mean,member_auc_std
0,9,1.0,30.6,1.0,0.0
1,8,0.9333333333333333,6.8,0.9333333333333333,0.0
2,8,0.6666666666666667,9.4,0.5733333333333334,0.23851391759997756
3,8,1.0,16.4,0.9733333333333334,0.036514837167011066
4,8,1.0,18.8,1.0,0.0
