set,n,roc_auc,accuracy,balanced_accuracy,brier_score,ece,sensitivity,specificity
OOF development,41,0.9901960784313726,0.9512195121951219,0.9411764705882353,0.041559058510939474,0.059899913692803106,1.0,0.8823529411764706
legacy observed holdout,11,0.8214285714285714,0.8181818181818182,0.8035714285714286,0.18230724937078968,0.17359179757821008,0.8571428571428571,0.75
