set,n,roc_auc,accuracy,balanced_accuracy,brier_score,ece,sensitivity,specificity
OOF development,41,0.9852941176470588,0.926829268292683,0.920343137254902,0.05647109937236343,0.05069389463445034,0.9583333333333334,0.8823529411764706
legacy observed holdout,11,0.7142857142857142,0.8181818181818182,0.8035714285714286,0.1858059567758465,0.1996575571408258,0.8571428571428571,0.75
