fold,n_val,raw_auc,mean_best_epoch,member_auc_mean,member_auc_std
0,9,1.0,33.4,0.96,0.06519202405202651
1,8,0.9333333333333333,18.8,0.9066666666666666,0.059628479399994376
2,8,1.0,32.8,0.8666666666666666,0.16996731711975946
3,8,0.9333333333333333,13.2,0.8800000000000001,0.09888264649460882
4,8,1.0,46.0,1.0,0.0
