epoch,train_loss,val_loss,val_patient_auc,lr
1,0.7145431982345549,0.5652636880949726,0.7083333333333334,0.001
2,0.6831313959737569,0.5759464774544784,0.6666666666666666,0.001
3,0.6694978249501266,0.6209215679819503,0.6666666666666666,0.001
4,0.6668017137618292,0.6372926466734078,0.6666666666666666,0.001
5,0.6647098323854687,0.6207845192255936,0.7083333333333334,0.001
6,0.6480823947473078,0.6003336468393722,0.6666666666666666,0.001
7,0.6276620234064789,0.48865737314299335,0.7083333333333334,0.001
8,0.6148960800995504,0.46953896900487385,0.7916666666666666,0.001
9,0.5614477854374557,0.4397598476860467,0.75,0.001
10,0.5007896773896819,0.3876121275694039,0.7916666666666666,0.001
11,0.49878443801213823,0.41996033736101285,0.7916666666666666,0.001
12,0.515539318597008,0.5202614140948598,0.7916666666666666,0.001
13,0.47776231388798734,0.40097079189430695,0.8333333333333334,0.001
14,0.40038810059141894,0.40800046044697597,0.875,0.001
15,0.35649098365029996,0.371751703928149,0.9166666666666667,0.001
16,0.3857393585201493,0.4083823037585561,0.9166666666666667,0.001
17,0.39294827357868206,0.3405161007182805,0.9166666666666667,0.001
18,0.2952724490797111,0.26760783721142867,0.9166666666666667,0.001
19,0.3481001755846672,0.3284824689229329,0.9583333333333334,0.001
20,0.3508576457960564,0.284038218926257,0.9166666666666667,0.001
21,0.29193280916116393,0.41506454630160894,0.9583333333333334,0.001
22,0.3116829951006667,0.3401540583512914,0.9166666666666667,0.001
23,0.27485170967895584,0.23728676089464523,1.0,0.001
24,0.23243286784928147,0.2614896417915665,1.0,0.001
25,0.24129396317248158,0.2333096918158644,0.9583333333333334,0.001
26,0.24748984593571277,0.4016734358519707,0.9166666666666667,0.001
27,0.22404587380868152,0.24224668897668833,0.9583333333333334,0.001
28,0.2632119280528106,0.2637646004283835,0.9583333333333334,0.001
29,0.1756929758821016,0.23415271988690994,1.0,0.001
30,0.17174306392370908,0.3524674202982835,1.0,0.001
31,0.15886051987695415,0.27065165712451683,0.9166666666666667,0.001
32,0.19733861011570458,0.29949524228184865,1.0,0.001
33,0.14118516869662498,0.2520604158636779,1.0,0.001
34,0.12505465682437247,0.2258521340337638,1.0,0.0005
35,0.15183326771285202,0.2795943178216929,0.9166666666666667,0.0005
36,0.11227507087259662,0.34920501630763057,0.875,0.0005
37,0.09232722617430596,0.5118310460894127,0.875,0.0005
38,0.07534804003454788,0.2950554332864566,0.9166666666666667,0.0005
39,0.07318809566242852,0.36585049241233686,0.9166666666666667,0.0005
40,0.08791489748528528,0.31925737529289067,0.9583333333333334,0.0005
41,0.11591275109782653,0.3788794093518432,0.9166666666666667,0.0005
42,0.0962709481800683,0.26983070557355254,0.9583333333333334,0.0005
43,0.08366413715115764,0.2767697032198818,0.9583333333333334,0.0005
