experiment_id,members,ssl,oof_auc,oof_accuracy,oof_balanced_accuracy,oof_ece,oof_epistemic_error_auc,legacy_test_auc,legacy_test_accuracy,legacy_test_balanced_accuracy,legacy_test_ece,legacy_test_epistemic_error_auc,representation,parent,delta_oof_auc_vs_parent,delta_oof_accuracy_vs_parent,delta_oof_balanced_accuracy_vs_parent,delta_oof_ece_vs_parent
exp_000_baseline,1,False,0.9264705882352942,0.8780487804878049,0.8700980392156863,0.11232935493893288,,0.7857142857142857,0.8181818181818182,0.8035714285714286,0.17274702264380448,0.16666666666666669,intensity,,,,,
exp_001_ensemble,5,False,0.9852941176470588,0.926829268292683,0.920343137254902,0.05069389463445034,0.7280701754385965,0.7142857142857142,0.8181818181818182,0.8035714285714286,0.1996575571408258,0.16666666666666669,intensity,exp_000_baseline,0.05882352941176461,0.04878048780487809,0.05024509803921573,-0.06163546030448254
exp_002_ssl_ensemble,5,True,0.9411764705882353,0.8536585365853658,0.8235294117647058,0.06225551889367027,0.7380952380952381,0.7499999999999999,0.8181818181818182,0.8035714285714286,0.14874860741484436,0.33333333333333337,intensity,exp_001_ensemble,-0.044117647058823484,-0.07317073170731714,-0.09681372549019618,0.01156162425921993
exp_003_dual_view,5,False,0.9754901960784312,0.926829268292683,0.9375,0.10085923215094711,0.7894736842105263,0.8214285714285714,0.8181818181818182,0.8035714285714286,0.21801398416806061,0.5555555555555556,intensity+first_derivative,exp_001_ensemble,-0.009803921568627527,0.0,0.017156862745097978,0.050165337516496766
exp_004_heterogeneous,10,False,0.9901960784313726,0.9512195121951219,0.9411764705882353,0.059899913692803106,0.7692307692307692,0.8214285714285714,0.8181818181818182,0.8035714285714286,0.17359179757821008,0.3888888888888889,fixed_1:1_intensity+dual_view,exp_001_ensemble,0.004901960784313819,0.024390243902438935,0.02083333333333326,0.009206019058352763
